time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 13,label
1.325856,-0.0504,-0.1091,1.0044,0.0003,-0.046,0.1095,0.0022,0.0371,0.0378,1.9875,-43.3313,-11.625,,adl
1.345837,-0.0504,-0.1091,1.0044,0.0371,-0.0142,0.0377,0.0022,0.0371,0.0378,1.9875,-43.3313,-11.625,,adl
1.364556,-0.0504,-0.1091,1.0044,0.0803,-0.0124,0.0402,0.0022,0.0371,0.0378,1.9875,-43.3313,-11.625,,adl
1.37409,-0.0426,-0.1031,0.99,0.0803,-0.0124,0.0402,0.0022,0.0371,0.0378,1.9875,-43.3313,-11.625,,adl
1.375878,-0.0426,-0.1031,0.99,0.0803,-0.0124,0.0402,0.0194,0.0261,0.0488,1.9875,-43.3313,-11.625,,adl
1.384958,-0.0426,-0.1031,0.99,0.1136,0.0364,-0.0318,0.0194,0.0261,0.0488,1.9875,-43.3313,-11.625,,adl
1.386292,-0.0426,-0.1031,0.99,0.1136,0.0364,-0.0318,0.0194,0.0261,0.0488,2.1562,-43.0312,-11.9438,,adl
1.402668,-0.0426,-0.1031,0.99,0.2192,0.0613,-0.0682,0.0194,0.0261,0.0488,2.1562,-43.0312,-11.9438,,adl
1.421409,-0.0243,-0.095,0.9878,0.2192,0.0613,-0.0682,0.0194,0.0261,0.0488,2.1562,-43.0312,-11.9438,,adl
1.425639,-0.0243,-0.095,0.9878,0.2636,0.0774,-0.0546,0.0194,0.0261,0.0488,2.1562,-43.0312,-11.9438,,adl
1.434944,-0.0243,-0.095,0.9878,0.2636,0.0774,-0.0546,-0.0014,-0.0386,-0.0098,2.1562,-43.0312,-11.9438,,adl
1.440991,-0.0243,-0.095,0.9878,0.2669,0.1096,-0.0337,-0.0014,-0.0386,-0.0098,2.1562,-43.0312,-11.9438,,adl
1.442185,-0.0243,-0.095,0.9878,0.2669,0.1096,-0.0337,-0.0014,-0.0386,-0.0098,1.6688,-43.0312,-11.5125,,adl
1.460652,-0.0243,-0.095,0.9878,0.2036,0.0976,0.0089,-0.0014,-0.0386,-0.0098,1.6688,-43.0312,-11.5125,,adl
1.469232,-0.0313,-0.0938,0.9958,0.2036,0.0976,0.0089,-0.0014,-0.0386,-0.0098,1.6688,-43.0312,-11.5125,,adl
1.479564,-0.0313,-0.0938,0.9958,0.1545,0.0964,0.0255,-0.0014,-0.0386,-0.0098,1.6688,-43.0312,-11.5125,,adl
1.498385,-0.0313,-0.0938,0.9958,0.1545,0.0964,0.0255,-0.0234,-0.0203,-0.044,1.6688,-43.0312,-11.5125,,adl
1.502208,-0.0313,-0.0938,0.9958,-0.0104,0.0592,0.0209,-0.0234,-0.0203,-0.044,1.6688,-43.0312,-11.5125,,adl
1.505618,-0.0313,-0.0938,0.9958,-0.0104,0.0592,0.0209,-0.0234,-0.0203,-0.044,2.0813,-43.35,-11.325,,adl
1.516887,-0.0543,-0.1069,0.9909,-0.0104,0.0592,0.0209,-0.0234,-0.0203,-0.044,2.0813,-43.35,-11.325,,adl
1.518133,-0.0543,-0.1069,0.9909,-0.0599,-0.0306,-0.024,-0.0234,-0.0203,-0.044,2.0813,-43.35,-11.325,,adl
1.536469,-0.0543,-0.1069,0.9909,-0.0996,-0.0207,0.0706,-0.0234,-0.0203,-0.044,2.0813,-43.35,-11.325,,adl
1.556596,-0.0543,-0.1069,0.9909,-0.0212,-0.0793,0.1128,-0.0234,-0.0203,-0.044,2.0813,-43.35,-11.325,,adl
1.560119,-0.0543,-0.1069,0.9909,-0.0212,-0.0793,0.1128,-0.0344,0.0542,0.0146,2.0813,-43.35,-11.325,,adl
1.565297,-0.0543,-0.1069,0.9909,-0.0212,-0.0793,0.1128,-0.0344,0.0542,0.0146,2.175,-43.35,-11.625,,adl
1.566234,-0.0536,-0.1096,1.0049,-0.0212,-0.0793,0.1128,-0.0344,0.0542,0.0146,2.175,-43.35,-11.625,,adl
1.574587,-0.0536,-0.1096,1.0049,-0.0067,-0.0295,0.1644,-0.0344,0.0542,0.0146,2.175,-43.35,-11.625,,adl
1.596411,-0.0536,-0.1096,1.0049,-0.0124,-0.0361,0.2132,-0.0344,0.0542,0.0146,2.175,-43.35,-11.625,,adl
1.61277,-0.0595,-0.0998,1.0058,-0.0124,-0.0361,0.2132,-0.0344,0.0542,0.0146,2.175,-43.35,-11.625,,adl
1.616164,-0.0595,-0.0998,1.0058,-0.0602,0.0625,0.1272,-0.0344,0.0542,0.0146,2.175,-43.35,-11.625,,adl
1.621223,-0.0595,-0.0998,1.0058,-0.0602,0.0625,0.1272,0.0144,0.0029,0.0256,2.175,-43.35,-11.625,,adl
1.622532,-0.0595,-0.0998,1.0058,-0.0602,0.0625,0.1272,0.0144,0.0029,0.0256,2.175,-43.3313,-11.7375,,adl
1.632278,-0.0595,-0.0998,1.0058,-0.0497,0.0375,-0.0023,0.0144,0.0029,0.0256,2.175,-43.3313,-11.7375,,adl
1.652176,-0.0595,-0.0998,1.0058,0.0266,0.0807,-0.1054,0.0144,0.0029,0.0256,2.175,-43.3313,-11.7375,,adl
